Matrix,Group,Distribution,AIC,Parameters
S,Day_1,norm,129.7307098647354,"(38.70012168360748, 4.829050173651148)"
,,,,
S,Day_1,Results for Stop 11,,
S,Day_1,poisson,139.91667381775775,"(38.19047619047619,)"
S,Day_1,norm,141.56586514420434,"(38.34323504306365, 6.400903858752646)"
S,Day_1,gamma,143.38376594401535,"(229.21344983543827, -58.42478192406733, 0.4222073481586859)"
S,Day_1,beta,145.37649787630457,"(288.9587914190206, 6174083.677028635, -70.1791611029052, 2318874.3101700554)"
S,Day_1,expon,167.5732112879793,"(20.26696069769079, 18.07627434537286)"
S,Day_1,lognorm,202.13007816591065,"(7.5767282163761696, 20.266960697690784, 2.6969270977340747)"
S,Day_1,weibull_min,inf,"(0.9035045443226192, 34.48694364542099, 3.2807842755429797)"
,,,,
S,Day_1,Results for Stop 21,,
S,Day_1,norm,140.56879894543408,"(37.9914030019861, 6.250738000920698)"
S,Day_1,poisson,141.38218391418917,"(37.904761904761905,)"
S,Day_1,beta,142.62330289975617,"(5721855.621707935, 19.357097472604334, -7981224.197917892, 7981289.175350544)"
S,Day_1,gamma,144.1369010118157,"(230.4601422809945, -62.72824047451539, 0.4364854807332874)"
S,Day_1,expon,176.16640188099336,"(15.811201986766434, 22.180201015219666)"
S,Day_1,weibull_min,191.2695937704586,"(0.24426957181830872, 15.811201986766433, 1.4267947999196364)"
S,Day_1,lognorm,210.64274488448646,"(7.384671334203863, 15.81120198676643, 4.489763986106545)"
,,,,
S,Day_1,Results for Stop 19,,
S,Day_1,norm,79.8395687473521,"(37.34374130628485, 1.472211194573271)"
S,Day_1,lognorm,81.0928555425605,"(0.0692342760501552, 16.40382804643812, 20.889484197135122)"
S,Day_1,gamma,81.20836426736108,"(129.1917729643169, 20.817153363492615, 0.12792290058760247)"
S,Day_1,beta,83.21001736564891,"(116.98550676311855, 9754142.732689608, 21.5899883005555, 1313562.2093056)"
S,Day_1,expon,105.25017125718875,"(33.244842461207206, 4.098898845077642)"
S,Day_1,poisson,117.72280289754512,"(37.142857142857146,)"
S,Day_1,weibull_min,inf,"(1.101686620000467, 36.51247736510393, 1.0344592372802224)"
,,,,
S,Day_1,Results for Stop 1,,
S,Day_1,lognorm,129.85668493034953,"(0.3400385392716402, 22.05313948616442, 15.73950754398354)"
S,Day_1,gamma,132.16165993571897,"(5.091187371978111, 25.152950262776514, 2.6915174811517)"
S,Day_1,beta,134.16743117807377,"(4.887173385538254, 8396891697877.732, 25.29246176166626, 23346494805117.133)"
S,Day_1,poisson,137.2059205774301,"(38.65,)"
S,Day_1,expon,139.24596401410096,"(28.038638836512945, 10.81732591792207)"
S,Day_1,norm,141.69716409928301,"(38.855964754435014, 7.564683956312411)"
S,Day_1,weibull_min,inf,"(0.23179997752488418, 37.23146774050413, 6.495492740752759)"
,,,,
S,Day_1,Results for Stop 9,,
S,Day_1,beta,117.29985576841057,"(65550853.4512155, 2.158217411909805, -174881355.0707149, 174881397.0886225)"
S,Day_1,norm,128.15172717554483,"(36.28538795776829, 4.650873125859738)"
S,Day_1,poisson,130.711356995915,"(36.095238095238095,)"
S,Day_1,gamma,132.73356999382548,"(227.2817564485906, -43.68568108471237, 0.3521581730340415)"
S,Day_1,lognorm,136.61629151531224,"(0.09455415594783398, -19.181314504580484, 56.413675005351564)"
S,Day_1,expon,165.0493135553213,"(19.2633736499522, 17.022014307816093)"
S,Day_1,weibull_min,179.0049602921523,"(0.2685970221619939, 19.263373649952197, 1.4245364863847865)"
,,,,
S,Day_1,Results for Stop 13,,
S,Day_1,norm,145.59621082446031,"(37.70721784401502, 8.339195404255651)"
S,Day_1,gamma,147.49987858483058,"(220.84510566569855, -86.26858733184426, 0.5612941701683469)"
S,Day_1,poisson,148.1863290162254,"(37.5,)"
S,Day_1,beta,149.58646760059702,"(78.5397561148586, 193.89310480269302, -50.599593167781975, 306.7523883812503)"
